V1	I(D1)
6.130000000000000e-01	2.171672e-03
6.140000000000000e-01	2.214344e-03
6.150000000000000e-01	2.257854e-03
6.160000000000000e-01	2.302216e-03
6.170000000000000e-01	2.347449e-03
6.180000000000000e-01	2.393570e-03
6.190000000000000e-01	2.440595e-03
6.200000000000000e-01	2.488542e-03
6.210000000000000e-01	2.537430e-03
6.220000000000000e-01	2.587276e-03
6.230000000000000e-01	2.638100e-03
6.240000000000000e-01	2.689921e-03
6.250000000000000e-01	2.742757e-03
6.260000000000000e-01	2.796629e-03
6.270000000000000e-01	2.851558e-03
6.280000000000000e-01	2.907563e-03
6.290000000000000e-01	2.964667e-03
6.300000000000000e-01	3.022889e-03
6.310000000000000e-01	3.082253e-03
6.320000000000000e-01	3.142779e-03
6.330000000000000e-01	3.204492e-03
6.340000000000000e-01	3.267414e-03
6.350000000000000e-01	3.331569e-03
6.360000000000000e-01	3.396980e-03
6.370000000000000e-01	3.463673e-03
6.380000000000000e-01	3.531673e-03
6.390000000000000e-01	3.601004e-03
6.400000000000000e-01	3.671692e-03
6.410000000000000e-01	3.743765e-03
6.420000000000000e-01	3.817249e-03
6.430000000000000e-01	3.892172e-03
6.440000000000000e-01	3.968562e-03
6.450000000000000e-01	4.046446e-03
6.460000000000000e-01	4.125855e-03
6.470000000000000e-01	4.206818e-03
6.480000000000000e-01	4.289365e-03
6.490000000000000e-01	4.373527e-03
6.500000000000000e-01	4.459335e-03
6.510000000000000e-01	4.546823e-03
6.520000000000000e-01	4.636021e-03
6.530000000000000e-01	4.726964e-03
6.540000000000000e-01	4.819684e-03
6.550000000000000e-01	4.914218e-03
6.560000000000000e-01	5.010600e-03
6.570000000000000e-01	5.108865e-03
6.580000000000000e-01	5.209051e-03
6.590000000000000e-01	5.311195e-03
6.600000000000000e-01	5.415335e-03
6.610000000000000e-01	5.521508e-03
6.620000000000000e-01	5.629756e-03
6.630000000000000e-01	5.740118e-03
6.640000000000000e-01	5.852635e-03
6.650000000000000e-01	5.967349e-03
6.660000000000000e-01	6.084302e-03
6.670000000000000e-01	6.203538e-03
6.680000000000000e-01	6.325101e-03
6.690000000000000e-01	6.449036e-03
6.700000000000000e-01	6.575388e-03
6.710000000000000e-01	6.704205e-03
6.720000000000000e-01	6.835535e-03
6.730000000000000e-01	6.969424e-03
6.740000000000000e-01	7.105925e-03
6.750000000000000e-01	7.245086e-03
6.760000000000000e-01	7.386958e-03
6.770000000000000e-01	7.531595e-03
6.780000000000000e-01	7.679050e-03
6.790000000000000e-01	7.829376e-03
6.800000000000000e-01	7.982630e-03
6.810000000000000e-01	8.138868e-03
6.820000000000001e-01	8.298147e-03
6.830000000000001e-01	8.460524e-03
6.840000000000001e-01	8.626061e-03
6.850000000000001e-01	8.794819e-03
6.860000000000001e-01	8.966858e-03
6.870000000000001e-01	9.142243e-03
6.880000000000001e-01	9.321037e-03
6.890000000000001e-01	9.503305e-03
6.900000000000001e-01	9.689114e-03
6.910000000000001e-01	9.878533e-03
6.920000000000001e-01	1.007163e-02
6.930000000000001e-01	1.026848e-02
6.940000000000001e-01	1.046914e-02
6.950000000000001e-01	1.067370e-02
6.960000000000001e-01	1.088223e-02
6.970000000000001e-01	1.109480e-02
6.980000000000001e-01	1.131150e-02
6.990000000000001e-01	1.153239e-02
7.000000000000001e-01	1.175757e-02
7.010000000000001e-01	1.198710e-02
7.020000000000001e-01	1.222108e-02
7.030000000000001e-01	1.245960e-02
7.040000000000000e-01	1.270272e-02
7.050000000000000e-01	1.295055e-02
7.060000000000000e-01	1.320317e-02
7.070000000000000e-01	1.346068e-02
7.080000000000000e-01	1.372317e-02
7.090000000000000e-01	1.399072e-02
7.100000000000000e-01	1.426344e-02
7.110000000000000e-01	1.454143e-02
7.120000000000000e-01	1.482478e-02
7.130000000000000e-01	1.511360e-02
7.140000000000000e-01	1.540799e-02
7.150000000000000e-01	1.570806e-02
7.160000000000000e-01	1.601390e-02
7.170000000000000e-01	1.632564e-02
7.180000000000000e-01	1.664338e-02
7.190000000000000e-01	1.696723e-02
7.200000000000000e-01	1.729731e-02
7.210000000000000e-01	1.763374e-02
7.220000000000000e-01	1.797664e-02
7.230000000000000e-01	1.832612e-02
7.240000000000000e-01	1.868232e-02
7.250000000000000e-01	1.904535e-02
7.260000000000000e-01	1.941535e-02
7.270000000000000e-01	1.979244e-02
7.280000000000000e-01	2.017675e-02
7.290000000000000e-01	2.056843e-02
7.300000000000000e-01	2.096761e-02
7.310000000000000e-01	2.137442e-02
7.320000000000000e-01	2.178902e-02
7.330000000000000e-01	2.221154e-02
